Replicata	Dose	UFC1	UFC2	UFC3	diluicao
1	0	34	44	29	1,00E+06
1	50	114	109	103	1,00E+04
1	100	25	35	24	1,00E+04
1	200	52	65	65	1,00E+01
1	300	37	11		1,00E+00
1	500	7	5		1,00E+00
1	700	2	4	8	1,00E+00
1	1000	0	4	0	1,00E+00
2	0	48	43	47	1,00E+06
2	50	135	139	139	1,00E+04
2	100	35	46	53	1,00E+04
2	200	51	35	23	1,00E+01
2	300	53	16	13	1,00E+00
2	500	1	14		1,00E+00
2	700	10	1	12	1,00E+00
2	1000	10	0	10	1,00E+00
3	0	40	38	39	1,00E+06
3	50	124	145	156	1,00E+04
3	100	29	42	40	1,00E+04
3	200	47	57	24	1,00E+01
3	300	11	11	7	1,00E+00
3	500	2	1	4	1,00E+00
3	700	0	1	1	1,00E+00
3	1000	0	0	1	1,00E+00
4	0	28	48	29	1,00E+06
4	50	176	182	178	1,00E+04
4	100	23	15	15	1,00E+04
4	200	44	42	35	1,00E+01
4	300	9	5	11	1,00E+00
4	500	3	4	4	1,00E+00
4	700	0	1	2	1,00E+00
4	1000	1	0	0	1,00E+00