Replicata	Exp	Dose	UFC1	UFC2	UFC3	diluicao
2	S	0	81	63	81	1,00E+02
2	S	100	74	83	61	1,00E+02
2	S	300	67	71	71	1,00E+02
2	S	500	92	79	61	1,00E+02
2	S	800	58	62	80	1,00E+02
2	S	1200	9	13	10	1,00E+02
2	S	1600	55	53	43	1,00E+00
2	S	2000	1	5	2	1,00E+00
2	S	2500	1	1	3	1,00E+00
2	S	3000	0	0	0	1,00E+00
3	S	0	51	44	51	1,00E+03
3	S	100	48	41	43	1,00E+03
3	S	300	50	47	49	1,00E+03
3	S	500	49	39	58	1,00E+03
3	S	800	27	28	26	1,00E+03
3	S	1200	28	18	14	1,00E+02
3	S	1600	19	18	14	1,00E+01
3	S	2000	0	0	0	1,00E+00
3	S	2500	3	1	0	1,00E+00
3	S	3000	0	0	0	1,00E+00
4	S	0	37	43	35	1,00E+03
4	S	100	51	46	57	1,00E+03
4	S	300	47	40	43	1,00E+03
4	S	500	27	44	44	1,00E+03
4	S	800	21	15	19	1,00E+03
4	S	1200	89	77	77	1,00E+01
4	S	1600	7	19	34	1,00E+00
4	S	2000	0	1	2	1,00E+00
4	S	2500	0	0	0	1,00E+00
4	S	3000	0	0	0	1,00E+00
2	L	0	86	89	87	1,00E+02
2	L	100	91	92	110	1,00E+02
2	L	300	94	71	85	1,00E+02
2	L	500	97	96	85	1,00E+02
2	L	800	76	93	86	1,00E+02
2	L	1200	86	89	77	1,00E+02
2	L	1600	29	21	24	1,00E+02
2	L	2000	54	52	49	1,00E+01
2	L	2500	29	30	33	1,00E+00
2	L	3000	17	23	19	1,00E+00
3	L	0	51	49	45	1,00E+03
3	L	100	50	57	35	1,00E+03
3	L	300	36	51	40	1,00E+03
3	L	500	53	55	46	1,00E+03
3	L	800	31	33	31	1,00E+03
3	L	1200	59	70	68	1,00E+02
3	L	1600	49	46	41	1,00E+01
3	L	2000	16	13	15	1,00E+00
3	L	2500	2	1	0	1,00E+00
3	L	3000	0	0	2	1,00E+00
4	L	0	35	45	45	1,00E+03
4	L	100	31	28	28	1,00E+03
4	L	300	47	47	36	1,00E+03
4	L	500	44	41	35	1,00E+03
4	L	800	37	29	43	1,00E+03
4	L	1200	38	38	38	1,00E+02
4	L	1600	13	16	16	1,00E+01
4	L	2000	1	0	2	1,00E+00
4	L	2500	0	0	0	1,00E+00
4	L	3000	0	0	0	1,00E+00