P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P0	0M	0:00:00	9	10	5	1,00E+03	8,00E+03
P0	0,25M	0:00:00	15	27	21	1,00E+03	2,10E+04
P0	0,5M	0:00:00	4	10	3	1,00E+03	5,67E+03
P0	0,75M	0:00:00	24	20	19	1,00E+03	2,10E+04
P0	1M	0:00:00	6	9	8	1,00E+03	7,67E+03
P0	1,25M	0:00:00	5	5	8	1,00E+03	6,00E+03
P0	1,5M	0:00:00	57	62	61	1,00E+02	6,00E+03
P0	2M	0:00:00	7	9	10	1,00E+03	8,67E+03
P0	3M	0:00:00	49	55	54	1,00E+02	5,27E+03
P0	4M	0:00:00	72	49	56	1,00E+02	5,90E+03
P1	0M	1:05:00	8	17	16	1,00E+03	1,37E+04
P1	0,25M	0:56:00	23	19	17	1,00E+03	1,97E+04
P1	0,5M	1:05:00	8	9	13	1,00E+03	1,00E+04
P1	0,75M	0:56:00	18	13	13	1,00E+03	1,47E+04
P1	1M	1:05:00	47	60	41	1,00E+02	4,93E+03
P1	1,25M	1:05:00	9	8	7	1,00E+03	8,00E+03
P1	1,5M	1:05:00	5	6	8	1,00E+03	6,33E+03
P1	2M	1:05:00	65	47	52	1,00E+02	5,47E+03
P1	3M	1:05:00	3	5	4	1,00E+03	4,00E+03
P1	4M	1:05:00	3	7	9	1,00E+03	6,33E+03
P2	0M	2:02:00	29	30	35	1,00E+03	3,13E+04
P2	0,25M	2:08:00	49	37	39	1,00E+03	4,17E+04
P2	0,5M	2:02:00	20	24	16	1,00E+03	2,00E+04
P2	0,75M	2:08:00	26	16	16	1,00E+03	1,93E+04
P2	1M	2:02:00	7	4	3	1,00E+03	4,67E+03
P2	1,25M	2:02:00	5	4	8	1,00E+03	5,67E+03
P2	1,5M	2:02:00	9	5	4	1,00E+03	6,00E+03
P2	2M	2:02:00	7	4	4	1,00E+03	5,00E+03
P2	3M	2:02:00	4	3	6	1,00E+03	4,33E+03
P2	4M	2:02:00	32	25	22	1,00E+02	2,63E+03
P3	0M	3:02:00	14	59	72	1,00E+03	4,83E+04
P3	0,25M	3:03:00	11	9	11	1,00E+04	1,03E+05
P3	0,5M	3:02:00	25	30	17	1,00E+03	2,40E+04
P3	0,75M	3:03:00	26	26	22	1,00E+03	2,47E+04
P3	1M	3:02:00	62	52	52	1,00E+02	5,53E+03
P3	1,25M	3:02:00	48	51	51	1,00E+02	5,00E+03
P3	1,5M	3:02:00	51	64	54	1,00E+02	5,63E+03
P3	2M	3:02:00	26	24	20	1,00E+02	2,33E+03
P3	3M	3:02:00	3	32	34	1,00E+02	2,30E+03
P3	4M	3:02:00	11	15	6	1,00E+02	1,07E+03
P4	0M	4:04:00	9	8	5	1,00E+03	7,33E+03
P4	0,25M	4:05:00	60	64	63	1,00E+03	6,23E+04
P4	0,5M	4:04:00	6	4	14	1,00E+03	8,00E+03
P4	0,75M	4:05:00	28	46	41	1,00E+03	3,83E+04
P4	1M	4:04:00	51	59	68	1,00E+02	5,93E+03
P4	1,25M	4:04:00	38	55	45	1,00E+02	4,60E+03
P4	1,5M	4:04:00	53	50	53	1,00E+02	5,20E+03
P4	2M	4:04:00	21	16	20	1,00E+02	1,90E+03
P4	3M	4:04:00	14	13	15	1,00E+02	1,40E+03
P4	4M	4:04:00	8	13	10	1,00E+02	1,03E+03
P5	0M	5:02:00	6	6	10	1,00E+03	7,33E+03
P5	0,25M	5:05:00	60	51	40	1,00E+03	5,03E+04
P5	0,5M	5:02:00	7	7	11	1,00E+03	8,33E+03
P5	0,75M	5:05:00	58	68	58	1,00E+03	6,13E+04
P5	1M	5:02:00	6	8	6	1,00E+03	6,67E+03
P5	1,25M	5:02:00	5	10	9	1,00E+03	8,00E+03
P5	1,5M	5:02:00	59	40	55	1,00E+02	5,13E+03
P5	2M	5:02:00	16	12	12	1,00E+02	1,33E+03
P5	3M	5:02:00	13	8	12	1,00E+02	1,10E+03
P5	4M	5:02:00	6	0	3	1,00E+02	3,00E+02
P6	0M	6:04:00	36	39	33	1,00E+03	3,60E+04
P6	0,25M	6:05:00	58	53	59	1,00E+04	5,67E+05
P6	0,5M	6:04:00	4	8	17	1,00E+04	9,67E+04
P6	0,75M	6:05:00	47	25	29	1,00E+03	3,37E+04
P6	1M	6:04:00	15	24	12	1,00E+03	1,70E+04
P6	1,25M	6:04:00	10	9	3	1,00E+03	7,33E+03
P6	1,5M	6:04:00	58	43	49	1,00E+02	5,00E+03
P6	2M	6:04:00	20	10	12	1,00E+02	1,40E+03
P6	3M	6:04:00	54	65	86	1,00E+01	6,83E+02
P6	4M	6:04:00	53	37	24	1,00E+01	3,80E+02
P7	0M	7:04:00	52	50	57	1,00E+05	5,30E+06
P7	0,25M	7:06:00	45	66	53	1,00E+05	5,47E+06
P7	0,5M	7:04:00	16	30	15	1,00E+05	2,03E+06
P7	0,75M	7:06:00	22	26	19	1,00E+04	2,23E+05
P7	1M	7:04:00	19	19	19	1,00E+03	1,90E+04
P7	1,25M	7:04:00	9	11	8	1,00E+03	9,33E+03
P7	1,5M	7:04:00	6	10	13	1,00E+03	9,67E+03
P7	2M	7:04:00	8	4	4	1,00E+02	5,33E+02
P7	3M	7:04:00	63	55	70	1,00E+01	6,27E+02
P7	4M	7:04:00	22	25	21	1,00E+01	2,27E+02
P8	0M	8:02:00	54	72	50	1,00E+05	5,87E+06
P8	0,25M	8:05:00	68	68	65	1,00E+05	6,70E+06
P8	0,5M	8:02:00	35	45	40	1,00E+05	4,00E+06
P8	0,75M	8:05:00	18	17	8	1,00E+04	1,43E+05
P8	1M	8:02:00	26	10	20	1,00E+03	1,87E+04
P8	1,25M	8:02:00	11	11	9	1,00E+03	1,03E+04
P8	1,5M	8:02:00	5	8	7	1,00E+03	6,67E+03
P8	2M	8:02:00	9	7	6	1,00E+02	7,33E+02
P8	3M	8:02:00	56	43	55	1,00E+01	5,13E+02
P8	4M	8:02:00	17	14	13	1,00E+01	1,47E+02
P9	0M	9:00:00	10	5	9	1,00E+06	8,00E+06
P9	0,25M	9:05:00	13	8	10	1,00E+06	1,03E+07
P9	0,5M	9:00:00	57	73	60	1,00E+05	6,33E+06
P9	0,75M	9:05:00	13	10	7	1,00E+04	1,00E+05
P9	1M	9:00:00	28	33	17	1,00E+03	2,60E+04
P9	1,25M	9:00:00	16	16	20	1,00E+03	1,73E+04
P9	1,5M	9:00:00	53	50	53	1,00E+02	5,20E+03
P9	2M	9:00:00	85	121	105	1,00E+01	1,04E+03
P9	3M	9:00:00	37	47	40	1,00E+01	4,13E+02
P9	4M	9:00:00	1	1	7	1,00E+01	3,00E+01
P10	0M	9:59:00	12	7	5	1,00E+06	8,00E+06
P10	0,25M	10:03:00	10	11	4	1,00E+06	8,33E+06
P10	0,5M	9:59:00	9	10	4	1,00E+06	7,67E+06
P10	0,75M	10:03:00	28	21	18	1,00E+04	2,23E+05
P10	1M	9:59:00	45	31	36	1,00E+03	3,73E+04
P10	1,25M	9:59:00	14	17	26	1,00E+03	1,90E+04
P10	1,5M	9:59:00	48	61	51	1,00E+02	5,33E+03
P10	2M	9:59:00	81	57	64	1,00E+01	6,73E+02
P10	3M	9:59:00	40	37	51	1,00E+01	4,27E+02
P10	4M	9:59:00	4	6	4	1,00E+01	4,67E+01
P11	0M	11:00:00	5	10	5	1,00E+06	6,67E+06
P11	0,25M	11:03:00	10	6	8	1,00E+06	8,00E+06
P11	0,5M	11:00:00	9	3	9	1,00E+06	7,00E+06
P11	0,75M	11:03:00	23	27	31	1,00E+05	2,70E+06
P11	1M	11:00:00	31	33	47	1,00E+03	3,70E+04
P11	1,25M	11:00:00	32	27	32	1,00E+03	3,03E+04
P11	1,5M	11:00:00	49	59	57	1,00E+02	5,50E+03
P11	2M	11:00:00	55	54	57	1,00E+01	5,53E+02
P11	3M	11:00:00	29	54	41	1,00E+01	4,13E+02
P11	4M	11:00:00	8	5	6	1,00E+01	6,33E+01
P12	0M	12:00:00	6	6	6	1,00E+06	6,00E+06
P12	0,25M	12:03:00	7	9	4	1,00E+06	6,67E+06
P12	0,5M	12:00:00	7	9	16	1,00E+06	1,07E+07
P12	0,75M	12:03:00	27	30	27	1,00E+05	2,80E+06
P12	1M	12:00:00	3	5	9	1,00E+04	5,67E+04
P12	1,25M	12:00:00	37	43	35	1,00E+03	3,83E+04
P12	1,5M	12:00:00	57	54	54	1,00E+02	5,50E+03
P12	2M	12:00:00	57	73	63	1,00E+01	6,43E+02
P12	3M	12:00:00	32	25	49	1,00E+01	3,53E+02
P12	4M	12:00:00	4	4	2	1,00E+01	3,33E+01
P13	0M	13:00:00	7	6	10	1,00E+06	7,67E+06
P13	0,25M	13:02:00	7	8	7	1,00E+06	7,33E+06
P13	0,5M	13:00:00	7	4	8	1,00E+06	6,33E+06
P13	0,75M	13:02:00	47	42	24	1,00E+05	3,77E+06
P13	1M	13:00:00	21	17	11	1,00E+04	1,63E+05
P13	1,25M	13:00:00	5	10	12	1,00E+04	9,00E+04
P13	1,5M	13:00:00	40	43	41	1,00E+02	4,13E+03
P13	2M	13:00:00	50	49	45	1,00E+01	4,80E+02
P13	3M	13:00:00	18	33	0	1,00E+01	1,70E+02
P13	4M	13:00:00	3	3	0	1,00E+01	2,00E+01
P14	0M	14:01:00	12	7	12	1,00E+06	1,03E+07
P14	0,25M	13:59:00	13	10	4	1,00E+06	9,00E+06
P14	0,5M	14:01:00	2	9	12	1,00E+06	7,67E+06
P14	0,75M	13:59:00	6	4	7	1,00E+06	5,67E+06
P14	1M	14:01:00	11	9	10	1,00E+04	1,00E+05
P14	1,25M	14:01:00	5	6	9	1,00E+04	6,67E+04
P14	1,5M	14:01:00	36	44	34	1,00E+02	3,80E+03
P14	2M	14:01:00	26	41	39	1,00E+01	3,53E+02
P14	3M	14:01:00	26	28	24	1,00E+01	2,60E+02
P14	4M	14:01:00	2	0	3	1,00E+01	1,67E+01
P15	0M	15:00:00	7	8	6	1,00E+06	7,00E+06
P15	0,25M	15:03:00	4	8	9	1,00E+06	7,00E+06
P15	0,5M	15:00:00	6	8	7	1,00E+06	7,00E+06
P15	0,75M	15:03:00	4	5	6	1,00E+06	5,00E+06
P15	1M	15:00:00	10	14	16	1,00E+05	1,33E+06
P15	1,25M	15:00:00	22	14	17	1,00E+04	1,77E+05
P15	1,5M	15:00:00	30	38	41	1,00E+02	3,63E+03
P15	2M	15:00:00	42	39	30	1,00E+01	3,70E+02
P15	3M	15:00:00	21	29	23	1,00E+01	2,43E+02
P15	4M	15:00:00	0	0	0	1,00E+01	0,00E+00
P16	0M	16:01:00	8	8	8	1,00E+06	8,00E+06
P16	0,25M	16:00:00	15	7	6	1,00E+06	9,33E+06
P16	0,5M	16:01:00	9	7	14	1,00E+06	1,00E+07
P16	0,75M	16:00:00	4	10	4	1,00E+06	6,00E+06
P16	1M	16:01:00	21	15	19	1,00E+05	1,83E+06
P16	1,25M	16:01:00	16	22	16	1,00E+04	1,80E+05
P16	1,5M	16:01:00	27	27	20	1,00E+02	2,47E+03
P16	2M	16:01:00	26	34	31	1,00E+01	3,03E+02
P16	3M	16:01:00	12	20	19	1,00E+01	1,70E+02
P16	4M	16:01:00	2	0	2	1,00E+01	1,33E+01
P17	0M	17:05:00	9	8	7	1,00E+06	8,00E+06
P17	0,25M	17:03:00	10	14	8	1,00E+06	1,07E+07
P17	0,5M	17:05:00	9	13	13	1,00E+06	1,17E+07
P17	0,75M	17:03:00	4	6	7	1,00E+06	5,67E+06
P17	1M	17:05:00	20	19	17	1,00E+05	1,87E+06
P17	1,25M	17:05:00	23	20	20	1,00E+04	2,10E+05
P17	1,5M	17:05:00	22	29	27	1,00E+02	2,60E+03
P17	2M	17:05:00	37	24	20	1,00E+01	2,70E+02
P17	3M	17:05:00	14	24	26	1,00E+01	2,13E+02
P17	4M	17:05:00	2	1	1	1,00E+01	1,33E+01
P18	0M	18:02:00	6	9	3	1,00E+06	6,00E+06
P18	0,25M	18:02:00	9	10	10	1,00E+06	9,67E+06
P18	0,5M	18:02:00	14	16	11	1,00E+06	1,37E+07
P18	0,75M	18:02:00	4	5	8	1,00E+06	5,67E+06
P18	1M	18:02:00	8	15	26	1,00E+05	1,63E+06
P18	1,25M	18:02:00	4	4	3	1,00E+05	3,67E+05
P18	1,5M	18:02:00	18	27	33	1,00E+02	2,60E+03
P18	2M	18:02:00	21	23	23	1,00E+01	2,23E+02
P18	3M	18:02:00	8	19	23	1,00E+01	1,67E+02
P18	4M	18:02:00	1	0	0	1,00E+01	3,33E+00
P19	0M	19:00:00	8	12	9	1,00E+06	9,67E+06
P19	0,25M	19:01:00	13	16	15	1,00E+06	1,47E+07
P19	0,5M	19:00:00	16	11	15	1,00E+06	1,40E+07
P19	0,75M	19:01:00	44	51		1,00E+05	4,75E+06
P19	1M	19:00:00	22	21	23	1,00E+05	2,20E+06
P19	1,25M	19:00:00	13	9	6	1,00E+05	9,33E+05
P19	1,5M	19:00:00	15	21	19	1,00E+02	1,83E+03
P19	2M	19:00:00	20	20	16	1,00E+01	1,87E+02
P19	3M	19:00:00	10	19	9	1,00E+01	1,27E+02
P19	4M	19:00:00	0	0	0	1,00E+01	0,00E+00
P20	0M	20:01:00	6	2	3	1,00E+06	3,67E+06
P20	0,25M	20:02:00	14	14	13	1,00E+06	1,37E+07
P20	0,5M	20:01:00	16	17	17	1,00E+06	1,67E+07
P20	0,75M	20:02:00	9	10	4	1,00E+06	7,67E+06
P20	1M	20:01:00	19	26	28	1,00E+05	2,43E+06
P20	1,25M	20:01:00	5	2	8	1,00E+05	5,00E+05
P20	1,5M	20:01:00	21	20	18	1,00E+02	1,97E+03
P20	2M	20:01:00	6	10		1,00E+01	8,00E+01
P20	3M	20:01:00	4	6	13	1,00E+01	7,67E+01
P20	4M	20:01:00	0	2	0	1,00E+01	6,67E+00
P21	0M	21:02:00	12	7	7	1,00E+06	8,67E+06
P21	0,25M	20:59:00	15	19	12	1,00E+06	1,53E+07
P21	0,5M	21:02:00	16	20	18	1,00E+06	1,80E+07
P21	0,75M	20:59:00	5	8	9	1,00E+06	7,33E+06
P21	1M	21:02:00	28	29	41	1,00E+05	3,27E+06
P21	1,25M	21:02:00	17	11	13	1,00E+05	1,37E+06
P21	1,5M	21:02:00	23	29	27	1,00E+02	2,63E+03
P21	2M	21:02:00	13	23	14	1,00E+01	1,67E+02
P21	3M	21:02:00	4	6	11	1,00E+01	7,00E+01
P21	4M	21:02:00	0	0	0	1,00E+01	0,00E+00
P22	0M	22:02:00	6	7	8	1,00E+06	7,00E+06
P22	0,25M	22:00:00	16	18	18	1,00E+06	1,73E+07
P22	0,5M	22:02:00	16	14	21	1,00E+06	1,70E+07
P22	0,75M	22:00:00	9	3	9	1,00E+06	7,00E+06
P22	1M	22:02:00	36	41	45	1,00E+05	4,07E+06
P22	1,25M	22:02:00	18	17	15	1,00E+05	1,67E+06
P22	1,5M	22:02:00	34	18	18	1,00E+02	2,33E+03
P22	2M	22:02:00	10	13	14	1,00E+01	1,23E+02
P22	3M	22:02:00	5	8	9	1,00E+01	7,33E+01
P22	4M	22:02:00	0	0	0	1,00E+01	0,00E+00
P23	0M	23:01:00	9	6	9	1,00E+06	8,00E+06
P23	0,25M	23:00:00	21	20	21	1,00E+06	2,07E+07
P23	0,5M	23:01:00	21	26	22	1,00E+06	2,30E+07
P23	0,75M	23:00:00	11	10	10	1,00E+06	1,03E+07
P23	1M	23:01:00	6	5	10	1,00E+06	7,00E+06
P23	1,25M	23:01:00	23	19	23	1,00E+05	2,17E+06
P23	1,5M	23:01:00	19	16	20	1,00E+02	1,83E+03
P23	2M	23:01:00	12	15	10	1,00E+01	1,23E+02
P23	3M	23:01:00	3	4	7	1,00E+01	4,67E+01
P23	4M	23:01:00	1	0	0	1,00E+01	3,33E+00
P24	0M	24:02:00	2	6	9	1,00E+06	5,67E+06
P24	0,25M	23:59:00	22	12	19	1,00E+06	1,77E+07
P24	0,5M	24:02:00	20	27	18	1,00E+06	2,17E+07
P24	0,75M	23:59:00	11	5	6	1,00E+06	7,33E+06
P24	1M	24:02:00	6	5	5	1,00E+06	5,33E+06
P24	1,25M	24:02:00	12	10	14	1,00E+05	1,20E+06
P24	1,5M	24:02:00	18	25	26	1,00E+02	2,30E+03
P24	2M	24:02:00	20	24	12	1,00E+01	1,87E+02
P24	3M	24:02:00	5	9	5	1,00E+01	6,33E+01
P24	4M	24:02:00	0	1	1	1,00E+01	6,67E+00