Erlen	DO avg	DO std	DW avg	DW std			Gráfico DOxMassa Seca	
A	0,109	0,00812	0,03155333	0,00167620			Eixo x	DO 750nm
A	0,183	0,01585	0,06514333	0,00406843			Eixo Y	Massa seca (g/L)
A	0,412	0,08271	0,12129000	0,00488669				
A	0,727	0,09547	0,26847000	0,01494953				
A	1,064	0,04249	0,52095333	0,02357317				
A	1,373	0,07151	0,57114667	0,02375318				
A	1,725	0,02591	0,80135333	0,03055198				
A	1,776	0,05877	0,86331000	0,01933185				
A	1,823	0,04875	0,89294667	0,02376243				
A	1,849	0,08469	0,87553333	0,03524259				
B	0,117	0,00458	0,03844667	0,00234300				
B	0,213	0,01778	0,06995667	0,00261006				
B	0,456	0,03352	0,13412000	0,00894002				
B	0,744	0,04876	0,29798333	0,01045491				
B	1,141	0,09687	0,51724000	0,01493582				
B	1,583	0,08489	0,71906000	0,02538331				
B	1,798	0,05999	0,81336667	0,02217951				
B	1,859	0,06196	0,94109333	0,02350207				
B	1,899	0,06856	0,99116333	0,02427508				
B	1,937	0,07676	1,00336000	0,01765678				
C	0,107	0,00357	0,02913000	0,00200988				
C	0,173	0,01312	0,05748667	0,00241529				
C	0,399	0,02730	0,10543000	0,00470162				
C	0,769	0,07785	0,36328667	0,02489013				
C	1,073	0,09071	0,45779333	0,03459288				
C	1,521	0,09871	0,70660667	0,02078400				
C	1,758	0,07179	0,81323000	0,03137982				
C	1,813	0,04516	0,89428667	0,01883875				
C	1,865	0,04991	0,93267333	0,01225734				
C	1,911	0,05005	0,96661333	0,02076360				