Erlen	Replicata	Dia	DO avg	DO std	Chl avg	Chl std		
Controle	1	0	0,099300000	0,003233510	0,427301930	0,000000000		Gráficos podem ser:
Controle	1	14	0,634800000	0,070936280	1,583166670	0,026187270		Dias x Chl a
Controle	1	28	1,421500000	0,068846450	3,509866670	0,012528500		Dias x DO 750
Controle	2	0	0,104100000	0,005043150	0,427301900	0,000000000		
Controle	2	14	0,591400000	0,035425040	1,780100000	0,013689000		
Controle	2	28	1,348500000	0,056346650	3,219466700	0,051543400		
Controle	3	0	0,103900000	0,004332050	0,427301930	0,000000000		
Controle	3	14	0,655700000	0,082249010	1,741433330	0,009423550		
Controle	3	28	1,375900000	0,068020340	3,261966670	0,065326130		
14d	1	0	0,107200000	0,003521363	0,427301927	0,000000000		
14d	1	14	0,096100000	0,004581363	0,003923573	0,000522756		
14d	2	0	0,100800000	0,003765339	0,427301927	0,000000000		
14d	2	14	0,087700000	0,005186521	0,003319947	0,000522756		
14d	3	0	0,103200000	0,001873796	0,427301927	0,000000000		
14d	3	14	0,096200000	0,002936362	0,003923573	0,000522756		
28d	1	0	0,102900000	0,001523884	0,446547209	0,000000000		
28d	1	28	0,071100000	0,006384878	0,000301813	0,000522756		
28d	2	0	0,101500000	0,001523155	0,446547209	0,000000000		
28d	2	28	0,068000000	0,009510228	0,000000000	0,000000000		
28d	3	0	0,101600000	0,001897367	0,446547209	0,000000000		
28d	3	28	0,063600000	0,009535897	0,000301813	0,000522756		