Experimento	Erlen	Dia	Avg DO	DO Std			
1x	A	0	0,0978000	0,0026833		NaNO3_1	BG-11 com volume normal de NaNO3
1x	A	3	0,1118000	0,0127945		NaNO3_0.5	BG-11 com metade do volume normal de NaNO3
1x	A	6	0,2030000	0,0378748		NaNO3_0	BG-11 sem NaNO3
1x	A	9	0,4326000	0,0470563			
1x	A	12	0,7530000	0,0556192			
1x	A	15	1,1032000	0,0378642			
1x	A	18	1,5074000	0,0881408			
1x	A	21	1,6762000	0,0424818			
1x	A	24	1,7372000	0,0944971			
1x	A	27	1,8664000	0,0772871			
1x	A	30	1,8196000	0,0885172			
1x	B	0	0,1018000	0,0066858			
1x	B	3	0,1152000	0,0108490			
1x	B	6	0,1918000	0,0215569			
1x	B	9	0,4252000	0,0584739			
1x	B	12	0,6710000	0,0473920			
1x	B	15	1,0266000	0,0994877			
1x	B	18	1,5680000	0,0760460			
1x	B	21	1,7922000	0,0573210			
1x	B	24	1,8074000	0,0725348			
1x	B	27	1,8036000	0,0749687			
1x	B	30	1,9038000	0,0323063			
1x	C	0	0,1046000	0,0082644			
1x	C	3	0,1230000	0,0141421			
1x	C	6	0,2212000	0,0402144			
1x	C	9	0,4704000	0,0315167			
1x	C	12	0,7242000	0,0632906			
1x	C	15	1,0422000	0,0761492			
1x	C	18	1,3722000	0,0830283			
1x	C	21	1,7362000	0,0654194			
1x	C	24	1,7992000	0,0314038			
1x	C	27	1,8444000	0,0420630			
1x	C	30	1,8636000	0,0583035			
0,5x	A	0	0,1000000	0,0050498			
0,5x	A	3	0,1222000	0,0113004			
0,5x	A	6	0,2260000	0,0417612			
0,5x	A	9	0,4366000	0,0407284			
0,5x	A	12	0,8182000	0,0404438			
0,5x	A	15	0,9842000	0,0811123			
0,5x	A	18	1,3658000	0,0919549			
0,5x	A	21	1,4788000	0,0642977			
0,5x	A	24	1,7476000	0,0498126			
0,5x	A	27	1,7878000	0,0698477			
0,5x	A	30	1,8194000	0,0605830			
0,5x	B	0	0,1038000	0,0054498			
0,5x	B	3	0,1244000	0,0128374			
0,5x	B	6	0,1774000	0,0196672			
0,5x	B	9	0,4264000	0,0293138			
0,5x	B	12	0,6966000	0,0509539			
0,5x	B	15	1,0976000	0,0614028			
0,5x	B	18	1,4962000	0,0646003			
0,5x	B	21	1,6454000	0,0725279			
0,5x	B	24	1,7078000	0,0694241			
0,5x	B	27	1,7270000	0,0827889			
0,5x	B	30	1,7366000	0,0463390			
0,5x	C	0	0,1028000	0,0058052			
0,5x	C	3	0,1192000	0,0151394			
0,5x	C	6	0,2034000	0,0416689			
0,5x	C	9	0,5094000	0,0498126			
0,5x	C	12	0,7096000	0,0500280			
0,5x	C	15	1,0088000	0,0584483			
0,5x	C	18	1,5130000	0,0695270			
0,5x	C	21	1,6938000	0,0340984			
0,5x	C	24	1,7232000	0,0595290			
0,5x	C	27	1,7472000	0,0752177			
0,5x	C	30	1,7682000	0,0337001			
0x	A	0	0,1000000	0,0025495			
0x	A	3	0,1042000	0,0042071			
0x	A	6	0,1576000	0,0225233			
0x	A	9	0,3812000	0,0412274			
0x	A	12	0,5976000	0,0507967			
0x	A	15	0,7916000	0,0417528			
0x	A	18	1,1168000	0,0458498			
0x	A	21	1,2736000	0,0541138			
0x	A	24	1,3840000	0,0459674			
0x	A	27	1,4352000	0,0426286			
0x	A	30	1,4748000	0,0574517			
0x	B	0	0,0980000	0,0025495			
0x	B	3	0,1058000	0,0071903			
0x	B	6	0,1408000	0,0239729			
0x	B	9	0,3382000	0,0299449			
0x	B	12	0,4894000	0,0765820			
0x	B	15	0,6574000	0,0479562			
0x	B	18	1,0460000	0,0512104			
0x	B	21	1,1304000	0,0651406			
0x	B	24	1,2382000	0,0722959			
0x	B	27	1,3318000	0,0472938			
0x	B	30	1,3774000	0,0670545			
0x	C	0	0,0992000	0,0071903			
0x	C	3	0,1100000	0,0108628			
0x	C	6	0,1970000	0,0367764			
0x	C	9	0,4420000	0,0428661			
0x	C	12	0,7120000	0,0742597			
0x	C	15	0,9913400	0,0437799			
0x	C	18	1,2220000	0,0802403			
0x	C	21	1,3436000	0,0524576			
0x	C	24	1,4014000	0,1147706			
0x	C	27	1,4692000	0,0779468			
0x	C	30	1,4092000	0,0700407			